,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,missing_colname 16,missing_colname 17,missing_colname 18,missing_colname 19,missing_colname 20,Rank,Value,fullname,AGE
36,Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10.0,0.67,0.67,0.8375,0.8375,36,36,1.44765625,Farlie Petford,49
37,Mitchell,MacCague,Male,58,1979-04-11,,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8.0,0.9,0.9,0.9,0.765,38,38,1.4375,Mitchell MacCague,38
38,Garik,Whitwell,Male,44,1955-06-13,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2.0,0.78,0.975,0.975,0.82875,38,38,1.4375,Garik Whitwell,62
39,Antonin,Britt,Male,64,1993-08-28,,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9.0,0.49,0.6125,0.765625,0.765625,40,40,1.434375,Antonin Britt,24
40,Vinny,Incogna,Female,73,1953-02-13,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8.0,0.88,0.88,0.88,0.88,40,40,1.434375,Vinny Incogna,64
41,Colene,Fishleigh,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10.0,0.78,0.78,0.975,0.82875,42,42,1.421875,Colene Fishleigh,32
42,Neile,Argent,Female,79,1946-10-25,,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10.0,0.7,0.7,0.875,0.74375,42,42,1.421875,Neile Argent,71
43,Corinna,Suggey,Female,52,1966-09-18,Design Engineer,,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8.0,0.78,0.78,0.78,0.78,44,44,1.42109375,Corinna Suggey,51
44,Brooke,Arling,Male,76,1961-12-05,,,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5.0,0.41,0.41,0.41,0.41,44,44,1.42109375,Brooke Arling,56
45,Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12.0,1.02,1.275,1.59375,1.59375,46,46,1.4078125,Gipsy Ewestace,61
46,Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1.0,0.6,0.75,0.75,0.75,46,46,1.4078125,Sheena Kybbye,61
47,Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4.0,0.85,1.0625,1.328125,1.328125,46,46,1.4078125,Jobina Gobourn,23
48,Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7.0,1.06,1.325,1.325,1.12625,46,46,1.4078125,Gale Disbrow,40
49,Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12.0,0.6,0.6,0.75,0.6375,50,50,1.40625,Thaxter Kingsbury,67
50,Heinrick,Shilstone,Male,60,1978-02-11,,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8.0,0.59,0.59,0.59,0.59,50,50,1.40625,Heinrick Shilstone,39
51,Taylor,Steuhlmeyer,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8.0,0.78,0.975,0.975,0.975,52,52,1.39453125,Taylor Steuhlmeyer,18
52,Griswold,Kelsall,Male,55,1993-12-19,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7.0,0.55,0.6875,0.6875,0.6875,52,52,1.39453125,Griswold Kelsall,24
53,Odessa,Mc Andrew,Female,97,1981-12-01,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10.0,0.79,0.79,0.9875,0.839375,54,54,1.38125,Odessa Mc Andrew,36
54,Lavena,Seekings,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10.0,0.63,0.63,0.7875,0.669375,54,54,1.38125,Lavena Seekings,22
55,Martelle,Tuppeny,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10.0,0.44,0.44,0.55,0.4675,54,54,1.38125,Martelle Tuppeny,36
56,Briant,Ladley,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8.0,0.69,0.69,0.69,0.5865,57,57,1.375,Briant Ladley,38
57,Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9.0,0.58,0.58,0.725,0.61625,57,57,1.375,Marylou Kirkup,45
58,Whittaker,missing,Male,64,1966-07-29,Media Manager III,,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5.0,0.84,1.05,1.05,0.8925,57,57,1.375,Whittaker missing,51
60,Lorrie,Antonelli,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7.0,0.51,0.6375,0.6375,0.6375,57,57,1.375,Lorrie Antonelli,34
61,Jedediah,Kedie,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9.0,0.99,1.2375,1.546875,1.31484375,62,62,1.36796875,Jedediah Kedie,46
62,Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10.0,0.6,0.6,0.75,0.75,62,62,1.36796875,Kaine Smallcombe,75
63,Loise,Iltchev,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6.0,0.9,1.125,1.125,1.125,62,62,1.36796875,Loise Iltchev,50
64,Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7.0,0.76,0.95,0.95,0.95,65,65,1.3625,Cristen Maroney,18
65,Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8.0,0.57,0.57,0.57,0.57,65,65,1.3625,Dorothy Barnardo,34
66,Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11.0,0.73,0.9125,1.140625,1.140625,65,65,1.3625,Rosmunda Duxbarry,21
67,Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7.0,0.73,0.9125,0.9125,0.9125,68,68,1.3546875,Rozamond Riha,33
68,Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5.0,0.58,0.725,0.725,0.725,68,68,1.3546875,Gunner Petti,18
69,Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7.0,0.51,0.6375,0.796875,0.796875,68,68,1.3546875,Vivienne Crayden,29
70,Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7.0,0.44,0.55,0.55,0.55,68,68,1.3546875,Sherilyn Canero,21
71,Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10.0,0.94,0.94,1.175,0.99875,72,72,1.35,Bessie Roscow,23
72,Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9.0,0.98,0.98,1.225,1.225,72,72,1.35,Kevina Ferandez,18
73,Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9.0,0.72,0.72,0.9,0.9,72,72,1.35,Yancy Clementet,49
74,Mabelle,Wellbelove,Female,76,1958-04-21,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9.0,0.99,1.2375,1.546875,1.546875,72,72,1.35,Mabelle Wellbelove,59
75,Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12.0,0.92,1.15,1.4375,1.4375,72,72,1.35,Hasheem Groucock,43
76,Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9.0,0.98,0.98,1.225,1.04125,77,77,1.34140625,Tobias Woodhams,56
77,Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7.0,0.7,0.875,0.875,0.875,78,78,1.3375,Glennis Flintoff,61
78,Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10.0,0.62,0.775,0.96875,0.8234375,78,78,1.3375,Chanda Mensler,45
79,Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6.0,0.49,0.49,0.49,0.49,78,78,1.3375,Katheryn Kinner,44
80,Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12.0,0.5,0.5,0.625,0.53125,78,78,1.3375,Sumner Carrivick,22
81,Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8.0,0.53,0.53,0.53,0.4505,78,78,1.3375,Valerie Pickover,52
82,Esther,Rooson,Female,14,1981-02-22,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9.0,0.63,0.63,0.7875,0.669375,78,78,1.3375,Esther Rooson,36
83,Gardie,Crellim,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12.0,1.04,1.04,1.3,1.3,84,84,1.328125,Gardie Crellim,42
84,Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10.0,0.48,0.6,0.75,0.75,85,85,1.325,Sean O'Loughlin,56
85,Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10.0,0.68,0.68,0.85,0.85,85,85,1.325,Pietra Buckleigh,68
86,Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9.0,0.59,0.59,0.7375,0.7375,85,85,1.325,Marysa Rouchy,18
87,Kahaleel,missing,Male,5,1942-11-01,GIS Technical Architect,,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12.0,0.87,0.87,1.0875,1.0875,88,88,1.31484375,Kahaleel missing,75
88,Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9.0,0.42,0.525,0.65625,0.5578125,89,89,1.3125,Ossie Midden,67
89,Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2.0,0.64,0.64,0.64,0.64,89,89,1.3125,Sid Carlone,46
90,Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10.0,0.95,0.95,1.1875,1.1875,89,89,1.3125,Ludovico Juster,25
91,Patricia,Everix,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7.0,0.4,0.4,0.4,0.34,89,89,1.3125,Patricia Everix,39
92,Andromache,Bonafacino,Female,84,1977-09-01,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9.0,1.04,1.04,1.3,1.105,89,89,1.3125,Andromache Bonafacino,40
93,Levy,Abramamov,Male,94,1952-09-21,Teacher,,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8.0,0.7,0.875,1.09375,1.09375,89,89,1.3125,Levy Abramamov,65
94,Nobe,McAughtry,Male,25,1978-12-14,,,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5.0,0.48,0.48,0.48,0.408,89,89,1.3125,Nobe McAughtry,39
95,Jehu,Prestedge,Male,91,1999-10-20,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12.0,0.51,0.6375,0.796875,0.796875,96,96,1.3,Jehu Prestedge,18
96,Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4.0,0.99,1.2375,1.2375,1.051875,96,96,1.3,Symon Mawne,74
97,Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6.0,0.96,0.96,0.96,0.816,96,96,1.3,Karlik Penchen,23
98,Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10.0,0.88,0.88,1.1,1.1,99,99,1.296875,Bengt Bilson,45
99,Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8.0,0.75,0.9375,0.9375,0.9375,99,99,1.296875,Evangelin Boc,17
100,Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4.0,0.66,0.66,0.825,0.70125,99,99,1.296875,Hanny Treven,26
101,Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2.0,0.7,0.7,0.7,0.595,102,102,1.28828125,Gina Mallon,23
102,Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2.0,0.69,0.69,0.69,0.5865,102,102,1.28828125,Reynold Elman,77
103,Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2.0,0.96,0.96,0.96,0.96,104,104,1.2875,Flossy Concannon,37
104,Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6.0,0.59,0.7375,0.7375,0.7375,104,104,1.2875,Cristen Wiltshire,56
105,Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3.0,0.93,1.1625,1.1625,0.988125,104,104,1.2875,Griffith Escot,71
106,Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9.0,0.52,0.52,0.65,0.5525,104,104,1.2875,Jamie Jiruca,54
107,Lyon,Brittan,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8.0,1.09,1.09,1.09,1.09,104,104,1.2875,Lyon Brittan,45
108,Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1.0,0.53,0.53,0.6625,0.563125,104,104,1.2875,Aridatha Sephton,56
109,Michal,Bryan,Female,1,1969-11-09,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8.0,0.79,0.9875,0.9875,0.839375,104,104,1.2875,Michal Bryan,48
110,Franciska,Stigell,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7.0,1.02,1.275,1.59375,1.3546875,111,111,1.28125,Franciska Stigell,49
111,Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5.0,0.8,1.0,1.0,0.85,111,111,1.28125,Jordan Clampe,78
112,David,Napoleon,Male,72,1961-11-05,Structural Engineer,,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11.0,0.84,0.84,1.05,1.05,111,111,1.28125,David Napoleon,56
113,Meriel,Tapp,Female,0,1995-08-13,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2.0,0.84,0.84,0.84,0.714,114,114,1.275,Meriel Tapp,22
114,Dolley,Starmont,Female,53,1977-11-08,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6.0,0.43,0.43,0.43,0.43,114,114,1.275,Dolley Starmont,40
115,Frederik,Milan,Male,45,1997-11-13,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5.0,0.98,0.98,0.98,0.833,114,114,1.275,Frederik Milan,20
116,Rollo,Louedey,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9.0,1.09,1.3625,1.703125,1.703125,114,114,1.275,Rollo Louedey,71
117,Jerrine,Cosbey,Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9.0,0.6,0.75,0.9375,0.9375,114,114,1.275,Jerrine Cosbey,39
118,Roddy,Rubinshtein,Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7.0,1.08,1.35,1.35,1.1475,114,114,1.275,Roddy Rubinshtein,30
119,Viki,Coutts,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4.0,0.53,0.6625,0.6625,0.563125,120,120,1.2625,Viki Coutts,65
120,Ashby,Bispham,Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8.0,0.52,0.52,0.52,0.52,120,120,1.2625,Ashby Bispham,36
121,Alexander,Broadbent,Male,57,1997-05-28,Desktop Support Technician,,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10.0,0.51,0.51,0.6375,0.541875,120,120,1.2625,Alexander Broadbent,20
